Total_Accidents,Total_Release_BBLS,Total_Recovered_BBLS,Avg_Prop_Damage,Avg_Env_Damage,Total_Fatalities,Total_Injuries,Operational_Rigs,Distillation_Capacity,Refinery_Inputs,%_Utilization_of_Refinery_Operable_Capacity,Date,%_Utilization_of_Refinery_Operable_Capacity_lag1,%_Utilization_of_Refinery_Operable_Capacity_lag3,%_Utilization_of_Refinery_Operable_Capacity_lag6,%_Utilization_of_Refinery_Operable_Capacity_lag12,Refinery_Inputs_lag1,Refinery_Inputs_lag3,Refinery_Inputs_lag6,Refinery_Inputs_lag12,Total_Accidents_lag1,Total_Accidents_lag3,Total_Accidents_lag6,Total_Accidents_lag12,%_Utilization_of_Refinery_Operable_Capacity_roll3_mean,%_Utilization_of_Refinery_Operable_Capacity_roll3_sum,%_Utilization_of_Refinery_Operable_Capacity_roll6_mean,%_Utilization_of_Refinery_Operable_Capacity_roll6_sum,%_Utilization_of_Refinery_Operable_Capacity_roll12_mean,%_Utilization_of_Refinery_Operable_Capacity_roll12_sum,Total_Accidents_roll3_mean,Total_Accidents_roll3_sum,Total_Accidents_roll6_mean,Total_Accidents_roll6_sum,Total_Accidents_roll12_mean,Total_Accidents_roll12_sum,Total_Release_BBLS_roll3_mean,Total_Release_BBLS_roll3_sum,Total_Release_BBLS_roll6_mean,Total_Release_BBLS_roll6_sum,Total_Release_BBLS_roll12_mean,Total_Release_BBLS_roll12_sum,Operational_Rigs_roll3_mean,Operational_Rigs_roll3_sum,Operational_Rigs_roll6_mean,Operational_Rigs_roll6_sum,Operational_Rigs_roll12_mean,Operational_Rigs_roll12_sum,target_utilization_pct
22,14052.91,4902.6,105258.86363636365,385416.2727272727,0,0,1125.0,17730.0,15426.0,87.0,2011-11-01,84.9,90.3,85.3,86.5,15050.0,16009.0,15129.0,15166.0,29.0,36.0,24.0,41.0,87.96666666666665,263.9,88.06666666666666,528.4,86.28333333333335,1035.4,30.333333333333332,91.0,28.833333333333332,173.0,31.083333333333332,373.0,7268.086666666667,21804.260000000002,6690.438333333334,40142.630000000005,6652.64,79831.68000000001,1065.0,3195.0,1022.6666666666666,6136.0,911.5,10938.0,86.5
31,8832.1,1731.88,29796.290322580644,145688.03225806452,0,1,1177.0,17740.0,15341.0,86.5,2011-12-01,87.0,88.7,89.0,88.4,15426.0,15735.0,15778.0,15555.0,22.0,26.0,27.0,41.0,86.86666666666667,260.6,88.35000000000001,530.1,86.325,1035.9,25.666666666666668,77.0,28.5,171.0,29.5,354.0,11204.340000000002,33613.020000000004,8892.87,53357.22,7664.912500000001,91978.95000000001,1088.3333333333333,3265.0,1052.1666666666667,6313.0,945.0,11340.0,85.6
28,3575.97,1873.41,488060.3928571429,117288.35714285714,0,0,1208.0,17367.0,14865.0,85.6,2012-01-01,86.5,84.9,90.2,84.8,15341.0,15050.0,16001.0,15035.0,31.0,29.0,31.0,29.0,86.13333333333333,258.4,87.93333333333334,527.6,86.16666666666667,1034.0,27.333333333333332,82.0,29.166666666666668,175.0,28.666666666666668,344.0,9204.276666666667,27612.83,8236.243333333334,49417.46,7425.850833333334,89110.21,1126.3333333333333,3379.0,1085.1666666666667,6511.0,979.8333333333334,11758.0,86.5
32,3704.61,3208.36,32516.5625,118634.84375,0,0,1261.0,17367.0,15019.0,86.5,2012-02-01,85.6,87.0,90.3,80.0,14865.0,15426.0,16009.0,14195.0,28.0,22.0,36.0,41.0,86.36666666666667,259.1,87.16666666666667,523.0,86.23333333333335,1034.8000000000002,27.0,81.0,28.666666666666668,172.0,28.583333333333332,343.0,8820.326666666666,26460.98,8044.206666666666,48265.24,6916.5408333333335,82998.49,1170.0,3510.0,1117.5,6705.0,1014.4166666666666,12173.0,85.6
34,2286.7000000000003,873.38,81868.67647058824,70368.0294117647,1,1,1307.0,17275.0,14783.0,85.6,2012-03-01,86.5,86.5,88.7,84.4,15019.0,15341.0,15735.0,14963.0,32.0,31.0,26.0,25.0,86.2,258.6,86.53333333333335,519.2,86.77500000000002,1041.3000000000002,30.333333333333332,91.0,28.0,168.0,27.833333333333332,334.0,5370.893333333333,16112.68,8287.616666666667,49725.700000000004,6745.224166666667,80942.69,1215.3333333333333,3646.0,1151.8333333333333,6911.0,1052.75,12633.0,86.6
38,3782.48,2793.9500000000003,84454.57894736843,22723.78947368421,0,0,1329.0,17275.0,14952.0,86.6,2012-04-01,85.6,85.6,84.9,82.9,14783.0,14865.0,15050.0,14710.0,34.0,28.0,29.0,23.0,85.89999999999999,257.7,86.01666666666667,516.1,86.875,1042.5,31.333333333333332,94.0,29.333333333333332,176.0,28.583333333333332,343.0,3189.0933333333337,9567.28,6196.685,37180.11,6814.8525,81778.23,1258.6666666666667,3776.0,1192.5,7155.0,1092.5,13110.0,90.6
28,544.38,450.11,10252.035714285714,36069.96428571428,0,0,1373.0,17275.0,15657.0,90.6,2012-05-01,86.6,86.5,87.0,85.3,14952.0,15019.0,15426.0,15129.0,38.0,32.0,22.0,24.0,86.23333333333333,258.7,86.3,517.8,87.18333333333334,1046.2,34.666666666666664,104.0,30.833333333333332,185.0,29.833333333333332,358.0,3257.9300000000003,9773.79,6039.128333333334,36234.770000000004,6364.783333333333,76377.4,1299.0,3897.0,1234.5,7407.0,1128.5833333333333,13543.0,92.5
27,4313.93,537.69,45379.444444444445,38405.55555555556,1,1,1409.0,17275.0,15983.0,92.5,2012-06-01,90.6,85.6,86.5,89.0,15657.0,14783.0,15341.0,15778.0,28.0,34.0,31.0,27.0,87.59999999999998,262.79999999999995,86.89999999999999,521.4,87.625,1051.5,33.333333333333336,100.0,31.833333333333332,191.0,30.166666666666668,362.0,2204.52,6613.56,3787.706666666667,22726.24,6340.288333333333,76083.45999999999,1336.3333333333333,4009.0,1275.8333333333333,7655.0,1164.0,13968.0,92.5
27,6743.65,1801.51,265703.8888888889,485757.7037037037,0,0,1419.0,17291.0,15991.0,92.5,2012-07-01,92.5,86.6,85.6,90.2,15983.0,14952.0,14865.0,16001.0,27.0,38.0,28.0,31.0,89.89999999999999,269.7,87.89999999999999,527.4,87.91666666666667,1055.0,31.0,93.0,31.166666666666668,187.0,30.166666666666668,362.0,2880.263333333334,8640.79,3034.6783333333333,18208.07,5635.4608333333335,67625.53,1370.3333333333333,4111.0,1314.5,7887.0,1199.8333333333333,14398.0,91.1
30,1037.93,785.42,37115.53333333333,103031.5,0,0,1423.0,17211.0,15679.0,91.1,2012-08-01,92.5,90.6,86.5,90.3,15991.0,15657.0,15019.0,16009.0,27.0,28.0,32.0,36.0,91.86666666666667,275.6,89.05,534.3,88.10833333333333,1057.3,27.333333333333332,82.0,31.0,186.0,29.833333333333332,358.0,3867.3199999999997,11601.96,3562.625,21375.75,5803.4158333333335,69640.99,1400.3333333333333,4201.0,1349.6666666666667,8098.0,1233.5833333333333,14803.0,87.6
